Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
21/02/2020,149,90,58,36,25,18,21,27,39,79,314,556,718,746,796,897,888,765,553,413,321,272,199,129
22/02/2020,65,43,26,20,13,9,8,11,12,44,149,319,466,544,698,822,875,734,558,414,339,301,207,131
23/02/2020,77,58,36,24,24,17,12,7,15,59,151,333,503,569,716,897,932,887,688,508,409,334,253,163
24/02/2020,103,77,52,48,40,23,15,26,45,103,330,568,803,877,1099,1203,1146,1003,813,588,518,468,367,254
25/02/2020,147,70,44,19,15,13,12,18,42,147,456,809,1074,1073,1173,1215,1197,1032,722,516,413,375,264,166
26/02/2020,84,51,29,19,14,12,6,10,29,122,478,779,963,1068,1215,1291,1242,1052,792,571,480,447,360,246
27/02/2020,142,87,62,38,25,23,17,16,28,84,315,633,869,943,988,1112,1120,972,741,593,510,454,392,271
28/02/2020,157,99,71,48,33,29,26,26,37,100,314,534,691,742,841,931,919,740,532,396,313,239,172,127
29/02/2020,68,49,38,21,20,17,15,7,17,43,161,349,507,644,843,974,998,923,692,464,311,243,194,128
01/03/2020,73,55,41,28,17,15,12,12,15,47,170,381,537,669,873,1074,1113,995,801,561,454,401,289,176
02/03/2020,108,53,27,22,16,17,14,18,37,131,466,775,1038,1023,1195,1277,1231,1116,860,660,578,521,430,260
03/03/2020,142,91,55,41,28,23,18,25,57,131,501,866,1080,966,1122,1173,1228,1045,768,552,483,446,363,235
04/03/2020,137,83,49,28,24,16,20,24,51,110,434,700,859,907,1092,1235,1136,959,784,606,503,426,340,234
05/03/2020,142,92,55,36,31,25,18,19,35,104,376,700,886,930,1106,1147,1070,874,677,554,465,429,375,228
06/03/2020,132,86,56,36,27,21,20,18,35,88,338,575,765,763,843,906,820,695,495,336,279,267,197,162
07/03/2020,95,66,48,21,19,12,9,10,14,51,158,318,506,605,712,856,818,723,631,405,350,318,241,177
08/03/2020,97,67,50,36,16,12,13,16,19,43,169,372,502,620,818,946,982,941,765,562,439,360,294,210
09/03/2020,148,104,76,50,36,32,25,26,53,145,438,740,930,975,1119,1238,1196,1001,758,592,486,432,347,263
10/03/2020,173,110,79,50,46,36,32,28,48,136,491,806,953,987,1104,1229,1210,1011,771,539,480,452,349,240
11/03/2020,119,75,58,45,30,18,13,18,36,136,462,768,870,894,1010,1134,1050,883,662,491,422,365,306,234
12/03/2020,141,93,64,38,34,26,20,20,34,99,359,611,760,773,868,978,930,767,597,462,372,348,296,201
13/03/2020,134,92,66,38,20,16,13,11,26,107,342,544,660,622,706,783,761,625,426,287,212,191,161,111
14/03/2020,67,54,28,16,11,9,6,6,9,37,121,253,399,472,615,722,710,633,476,284,217,174,153,104
15/03/2020,74,44,41,22,20,8,8,8,14,40,122,253,384,457,550,655,673,648,535,376,282,276,216,162
16/03/2020,113,87,70,46,34,23,23,23,46,104,323,534,694,652,807,903,861,735,486,323,201,173,130,109
17/03/2020,60,38,29,17,13,9,7,11,21,54,167,302,381,417,515,561,544,452,325,238,186,141,95,91
18/03/2020,51,41,31,25,13,10,7,11,16,33,108,221,307,354,419,477,464,36, ,,,,,
19/03/2020,,,,,,,,,,15,69,133,167,202,261,258,246,35,,,,,,
20/03/2020,,,,,,,,,,12,35,104,167,197,211,236,238,13,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
28/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
29/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
30/04/2020,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
02/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
03/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
04/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
05/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
06/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
07/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
08/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
09/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
10/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
11/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
13/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
14/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
15/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
16/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
17/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
18/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
19/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
20/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
22/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
23/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
24/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
25/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
26/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
27/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
28/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
29/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
30/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
31/05/2020,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
02/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
03/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
05/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
06/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
07/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
09/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
10/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
11/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
12/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
13/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
14/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
15/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
17/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
18/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
19/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
20/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
21/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
23/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
25/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
26/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
27/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
28/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
29/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
30/06/2020,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
02/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
03/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
04/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
05/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
06/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
08/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
09/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
12/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
13/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
14/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
15/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
16/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
17/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
18/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
19/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
20/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
21/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
22/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
23/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
24/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
26/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
27/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
28/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
29/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
30/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
31/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
02/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
03/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
04/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
05/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
06/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
07/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
08/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
09/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
10/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
11/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
12/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
13/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
14/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
15/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
16/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
17/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
18/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
19/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
20/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
21/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
22/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
23/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
24/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
25/08/2020,,,,,,,,,,,3,47,65,72,66,55,9,,,,,,,
26/08/2020,,,,,,,,,,,4,35,50,55,63,59,9,,,,,,,
27/08/2020,,,,,,,,,,,6,37,55,69,69,57,7,,,,,,,
28/08/2020,,,,,,,,,,,2,46,66,68,62,49,4,,,,,,,
29/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
30/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
31/08/2020,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
02/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
03/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
04/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
05/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
06/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
07/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
08/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
09/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
11/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
12/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
13/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
14/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
15/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
16/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
17/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
18/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
19/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
20/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
21/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
24/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
25/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
26/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
27/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
28/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
29/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
30/09/2020,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2020,,,,,,,,,0,11,38,81,104,100,105,109,87,58,40,18,16,9,5,
02/10/2020,,,,,,,,,1,10,37,59,97,107,96,111,95,65,30,17,10,11,7,
03/10/2020,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,
04/10/2020,,,,,,,,,,,1,55,88,121,126,146,106,77,8,,,,,
05/10/2020,,,,,,,,,0,0,25,57,82,97,116,118,99,82,58,37,24,19,7,
06/10/2020,,,,,,,,,0,21,44,91,115,115,116,137,108,92,54,28,21,18,4,
07/10/2020,,,,,,,,,1,11,32,67,75,75,101,119,110,81,54,32,24,19,3,
08/10/2020,,,,,,,,,1,8,24,52,92,95,110,97,97,75,60,33,25,19,4,
09/10/2020,,,,,,,,,0,8,25,59,74,96,98,110,103,79,45,25,18,14,0,
10/10/2020,,,,,,,,,,,0,38,66,95,106,110,106,85,7,,,,,
11/10/2020,,,,,,,,,,,0,44,72,107,129,131,126,91,1,,,,,
12/10/2020,,,,,,,,,1,11,35,78,113,117,147,137,139,110,81,50,28,19,7,
13/10/2020,,,,,,,,,0,6,31,55,79,104,116,144,140,118,78,52,41,31,10,
14/10/2020,,,,,,,,,0,6,23,46,65,81,108,136,130,110,72,45,37,25,5,
15/10/2020,,,,,,,,,0,4,22,46,68,83,93,122,122,105,64,39,22,14,3,
16/10/2020,,,,,,,,,0,12,23,51,69,80,90,100,94,81,60,37,22,18,3,
17/10/2020,,,,,,,,,,,1,46,84,121,147,139,152,99,3,,,,,
18/10/2020,,,,,,,,,,,0,43,68,105,141,168,150,121,3,,,,,
19/10/2020,,,,,,,,,0,12,39,77,133,160,166,201,202,156,106,73,53,38,5,
20/10/2020,,,,,,,,,0,12,42,95,142,155,204,209,201,170,118,72,61,39,10,
21/10/2020,,,,,,,,,1,13,47,86,127,145,129,158,168,126,92,51,38,27,4,
22/10/2020,,,,,,,,,0,7,43,95,139,154,170,182,170,139,113,81,51,31,3,
23/10/2020,,,,,,,,,0,7,37,90,131,152,162,179,181,144,89,49,31,18,2,
24/10/2020,,,,,,,,,,,0,66,132,165,184,204,191,140,7,,,,,
25/10/2020,,,,,,,,,,,0,99,170,205,245,258,228,163,10,,,,,
26/10/2020,,,,,,,,,0,18,70,119,172,193,195,217,223,187,111,74,49,36,2,
27/10/2020,,,,,,,,,0,16,54,132,175,193,213,246,240,194,133,72,59,41,8,
28/10/2020,,,,,,,,,0,11,54,113,154,171,185,228,190,137,99,63,50,33,10,
29/10/2020,,,,,,,,,0,15,58,131,172,173,185,211,204,159,101,60,54,27,3,
30/10/2020,,,,,,,,,0,15,53,101,149,185,197,204,191,158,107,76,39,28,7,
31/10/2020,,,,,,,,,,,0,76,106,121,140,141,126,86,3,,,,,
01/11/2020,,,,,,,,,,,0,39,80,111,148,179,187,126,8,,,,,
02/11/2020,,,,,,,,,0,18,64,122,179,199,245,283,262,218,144,83,58,38,9,
03/11/2020,,,,,,,,,0,15,53,126,186,218,238,247,249,185,122,82,56,29,5,
04/11/2020,,,,,,,,,0,11,41,96,121,126,164,180,163,135,88,56,36,26,4,
05/11/2020,,,,,,,,,0,11,49,94,150,170,234,269,284,238,166,96,60,45,7,
06/11/2020,,,,,,,,,1,12,59,126,198,221,248,299,300,237,180,95,66,42,3,
07/11/2020,,,,,,,,,,,0,114,234,300,366,389,383,248,7,,,,,
08/11/2020,,,,,,,,,,,0,137,228,278,363,376,353,272,8,,,,,
09/11/2020,,,,,,,,,0,14,69,128,184,225,269,342,319,280,186,113,70,49,4,
10/11/2020,,,,,,,,,2,20,72,142,222,237,271,326,322,294,213,121,76,47,3,
11/11/2020,,,,,,,,,0,22,66,127,176,203,249,313,322,267,164,107,74,29,0,
12/11/2020,,,,,,,,,0,18,80,142,182,217,257,314,295,256,185,101,66,42,4,
13/11/2020,,,,,,,,,0,8,68,139,180,196,265,313,301,250,153,84,56,36,11,
14/11/2020,,,,,,,,,,,0,107,195,266,318,372,353,266,3,,,,,
15/11/2020,,,,,,,,,,,0,116,195,252,355,384,356,273,11,,,,,
16/11/2020,,,,,,,,,0,14,55,141,202,246,292,316,314,258,174,99,60,34,2,
17/11/2020,,,,,,,,,0,15,70,124,161,198,269,339,325,287,200,124,82,53,9,
18/11/2020,,,,,,,,,3,9,58,124,189,212,287,299,294,266,189,116,83,44,2,
19/11/2020,,,,,,,,,0,21,66,147,186,210,254,320,326,288,178,121,78,49,1,
20/11/2020,,,,,,,,,1,19,68,130,173,199,257,312,305,258,157,88,61,34,2,
21/11/2020,,,,,,,,,,,1,107,184,251,335,413,400,305,8,,,,,
22/11/2020,,,,,,,,,,,0,112,197,273,333,383,346,229,18,,,,,
23/11/2020,,,,,,,,,0,23,77,150,219,217,304,358,371,286,200,124,65,51,7,
24/11/2020,,,,,,,,,0,15,62,147,195,236,319,355,348,319,231,128,84,54,10,
25/11/2020,,,,,,,,,0,15,82,153,226,236,285,345,344,303,208,115,75,44,4,
26/11/2020,,,,,,,,,0,13,66,135,179,240,293,320,359,314,226,102,59,33,2,
27/11/2020,,,,,,,,,0,16,67,156,216,225,293,328,342,281,188,102,57,24,4,
28/11/2020,,,,,,,,,,,0,69,105,142,214,302,343,282,35,,,,,
29/11/2020,,,,,,,,,,,1,100,189,262,339,357,349,267,4,,,,,
30/11/2020,,,,,,,,,0,16,56,129,192,238,312,363,350,306,217,133,92,61,6,
01/12/2020,,,,,,,,,1,14,68,170,241,257,310,394,381,310,194,112,63,45,3,
02/12/2020,,,,,,,,,0,18,75,140,190,218,273,355,351,296,205,118,76,59,4,
03/12/2020,,,,,,,,,0,16,61,120,189,201,234,275,303,265,191,118,83,44,6,
04/12/2020,,,,,,,,,0,20,86,155,209,225,260,304,287,233,150,83,46,32,4,
05/12/2020,,,,,,,,,,,0,77,179,242,275,330,359,286,29,,,,,
06/12/2020,,,,,,,,,,,0,83,160,213,285,319,296,222,19,,,,,
07/12/2020,,,,,,,,,0,16,60,110,168,208,250,331,315,268,182,112,90,65,4,
08/12/2020,,,,,,,,,0,19,58,117,174,204,267,338,334,291,213,125,92,62,4,
09/12/2020,,,,,,,,,0,14,38,97,158,190,253,294,308,243,191,134,88,49,2,
10/12/2020,,,,,,,,,0,10,50,109,146,178,226,244,263,212,175,123,79,50,2,
11/12/2020,,,,,,,,,1,16,47,82,128,149,172,203,219,199,137,74,57,31,2,
12/12/2020,,,,,,,,,,,1,53,109,170,205,247,254,203,5,,,,,
13/12/2020,,,,,,,,,,,0,61,101,133,164,187,190,151,3,,,,,
14/12/2020,,,,,,,,,0,17,60,103,142,160,174,188,198,168,131,93,61,38,1,
15/12/2020,,,,,,,,,0,10,45,74,90,111,145,161,153,150,120,86,60,34,2,
16/12/2020,,,,,,,,,1,16,30,60,80,91,113,131,130,111,88,66,40,24,2,
17/12/2020,,,,,,,,,1,10,24,46,63,78,111,129,121,102,79,50,36,26,4,
18/12/2020,,,,,,,,,0,15,23,40,72,69,81,89,83,76,56,45,32,22,3,
19/12/2020,,,,,,,,,,,0,28,47,67,84,86,85,76,2,,,,,
20/12/2020,,,,,,,,,,,0,24,39,55,71,89,83,74,4,,,,,
21/12/2020,,,,,,,,,,,0,45,69,85,97,98,4,,,,,,,
22/12/2020,,,,,,,,,,,0,55,88,10,102,101,2,,,,,,,
23/12/2020,,,,,,,,,,,0,43,63,76,77,68,1,,,,,,,
24/12/2020,,,,,,,,,,,,,,,,,,,,,,,,
25/12/2020,,,,,,,,,,,,,,,,,,,,,,,,
26/12/2020,,,,,,,,,,,,,,,,,,,,,,,,
27/12/2020,,,,,,,,,,,,,,,,,,,,,,,,
28/12/2020,,,,,,,,,,,0,65,98,119,117,97,5,,,,,,,
29/12/2020,,,,,,,,,,,1,81,115,137,138,112,8,,,,,,,
30/12/2020,,,,,,,,,,,0,64,101,122,131,123,3,,,,,,,
31/12/2020,,,,,,,,,,,1,73,103,117,125,109,8,,,,,,,
01/01/2021,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2021,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2021,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2021,,,,,,,,,0,19,79,165,215,238,257,283,281,209,137,82,44,25,1,
05/01/2021,,,,,,,,,,1,14,51,107,144,221,222,229,200,142,82,55,35,2,
06/01/2021,,,,,,,,,0,5,43,97,157,180,209,236,254,214,155,91,66,35,6,
07/01/2021,,,,,,,,,0,9,46,121,193,207,247,293,291,240,160,90,71,47,1,
08/01/2021,,,,,,,,,0,6,45,120,175,193,222,275,265,218,139,99,59,41,7,
09/01/2021,,,,,,,,,,,0,113,200,283,349,393,372,296,13,,,,,
10/01/2021,,,,,,,,,,,0,121,217,249,284,331,314,246,8,,,,,
11/01/2021,,,,,,,,,0,18,56,105,140,142,160,193,180,146,97,74,55,37,1,
12/01/2021,,,,,,,,,0,17,48,123,175,184,245,300,306,265,172,103,65,40,1,
13/01/2021,,,,,,,,,0,17,61,122,168,196,223,254,256,219,144,90,60,34,0,
14/01/2021,,,,,,,,,0,19,58,112,123,124,150,187,190,178,124,70,37,24,2,
15/01/2021,,,,,,,,,0,17,49,98,138,155,180,195,214,181,132,88,63,33,0,
16/01/2021,,,,,,,,,,,0,89,132,146,187,203,194,162,14,,,,,
17/01/2021,,,,,,,,,,,0,98,153,202,226,230,224,150,6,,,,,
18/01/2021,,,,,,,,,0,19,80,148,195,194,211,239,224,181,126,87,62,42,4,
19/01/2021,,,,,,,,,0,11,57,114,151,157,178,192,187,162,116,69,45,31,1,
20/01/2021,,,,,,,,,0,9,39,87,126,145,172,182,180,140,87,60,35,16,3,
21/01/2021,,,,,,,,,0,7,37,79,106,123,152,169,161,125,84,59,34,16,0,
22/01/2021,,,,,,,,,0,11,43,77,106,122,148,178,175,129,90,49,31,21,1,
23/01/2021,,,,,,,,,,,0,39,73,108,134,145,127,96,2,,,,,
24/01/2021,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,
25/01/2021,,,,,,,,,0,0,23,55,85,114,132,151,155,132,78,44,17,10,1,
26/01/2021,,,,,,,,,0,9,33,66,93,108,141,143,134,102,68,27,15,10,1,
27/01/2021,,,,,,,,,0,11,40,77,119,134,168,187,178,135,90,58,24,19,1,
28/01/2021,,,,,,,,,0,12,38,77,108,113,117,164,150,123,82,51,28,17,1,
29/01/2021,,,,,,,,,0,15,35,62,95,121,147,177,167,116,88,40,22,13,1,
30/01/2021,,,,,,,,,,,0,32,67,83,97,111,97,72,3,,,,,
31/01/2021,,,,,,,,,,,0,58,90,122,170,188,195,160,3,,,,,
01/02/2021,,,,,,,,,0,12,36,70,101,118,165,189,207,184,123,67,37,23,1,
02/02/2021,,,,,,,,,0,13,44,88,119,114,140,219,228,173,104,60,41,21,0,
03/02/2021,,,,,,,,,0,14,40,81,109,139,189,232,211,170,95,58,32,21,1,
04/02/2021,,,,,,,,,0,27,34,40,80,106,168,206,206,176,111,60,31,18,1,
05/02/2021,,,,,,,,,0,14,32,74,118,140,194,229,212,171,96,42,31,15,2,
06/02/2021,,,,,,,,,,,0,52,94,146,164,176,165,141,10,,,,,
07/02/2021,,,,,,,,,,,0,34,92,138,192,219,193,134,7,,,,,
08/02/2021,,,,,,,,,0,6,36,90,127,163,208,245,243,192,120,68,41,21,2,
09/02/2021,,,,,,,,,0,11,43,88,130,147,197,220,230,204,122,66,33,17,,3
10/02/2021,,,,,,,,,0,12,43,89,144,149,191,236,220,163,107,55,27,14,2,
11/02/2021,,,,,,,,,0,16,53,98,140,173,201,242,246,189,121,70,42,27,1,
12/02/2021,,,,,,,,,0,12,53,101,139,161,189,206,200,164,96,59,43,27,3,
13/02/2021,,,,,,,,,,,0,64,122,181,196,229,220,172,2,,,,,
14/02/2021,,,,,,,,,,,0,68,111,148,191,198,165,106,2,,,,,
15/02/2021,,,,,,,,,0,16,48,96,141,165,211,268,266,205,142,91,62,34,1,
16/02/2021,,,,,,,,,0,26,67,123,179,187,247,298,284,216,145,70,42,21,3,
17/02/2021,,,,,,,,,0,15,66,134,189,234,288,313,293,225,132,83,53,32,5,
18/02/2021,,,,,,,,,0,24,55,127,211,238,248,286,266,214,143,87,54,30,5,
19/02/2021,,,,,,,,,0,21,63,112,156,198,223,252,249,180,119,82,52,27,2,
20/02/2021,,,,,,,,,,,0,98,185,220,263,293,285,199,15,,,,,
21/02/2021,,,,,,,,,,,0,80,155,198,270,304,293,186,19,,,,,
