READING DATE,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,23:59:00
2017-09-01,12,12,12,12,12,11,11,11,11,11,11,11,11,12,12,13,13,15,15,16,16,17,17,18,18,18,18,18,18,18,18,17,17,17,17,16,16,15,15,14,14,13,13,13,13,12,12,12
2017-09-02,12,12,12,11,11,11,11,11,11,11,11,10,10,12,12,14,14,15,15,16,16,17,17,19,19,19,19,18,18,18,18,18,18,18,18,17,17,17,17,16,16,15,15,14,14,14,14,13
2017-09-03,13,13,13,12,12,12,12,12,12,12,12,12,12,13,13,13,13,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
2017-09-04,13,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,16,16,17,17,19,19,21,21,21,21,21,21,21,21,20,20,20,20,19,19,18,18,18,18,17,17,17,17,17,17,17
2017-09-05,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,18,18,18,18,18,18,18,18,18,18,17,17,17,17,16,16,15,15,14,14,14,14,13,13,13
2017-09-06,13,12,12,12,12,12,12,12,12,12,12,11,11,12,12,13,13,14,14,15,15,16,16,16,16,17,17,17,17,17,17,16,16,16,16,15,15,15,15,14,14,13,13,13,13,12,12,12
2017-09-07,12,12,12,12,12,12,12,11,11,11,11,11,11,12,12,13,13,15,15,15,15,16,16,17,17,17,17,17,17,18,18,17,17,16,16,16,16,15,15,15,15,15,15,15,15,14,14,14
2017-09-08,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,14,14,14,14,15,15,16,16,17,17,17,17,17,17,17,17,16,16,16,16,15,15,14,14,13,13,13,13,12,12,12,12,11
2017-09-09,11,11,11,11,11,10,10,10,10,10,10,10,10,11,11,12,12,13,13,14,14,15,15,15,15,16,16,16,16,16,16,15,15,15,15,14,14,13,13,13,13,12,12,12,12,12,12,11
2017-09-10,11,11,11,11,11,11,11,10,10,10,10,10,10,11,11,12,12,13,13,13,13,13,13,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,11,11,11,11,10,10,10
2017-09-11,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,14,14,14,14,14,14,15,15,15,15,14,14,14,14,13,13,13,13,12,12,11,11,11,11,11,11,11
2017-09-12,11,10,10,10,10,10,10,10,10,10,10,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16,16,15,15,15,15,15,15,14,14,13,13,13,13,13,13,12,12,13,13,14,14,14
2017-09-13,14,14,14,13,13,12,12,12,12,11,11,10,10,11,11,12,12,13,13,13,13,14,14,15,15,15,15,15,15,15,15,14,14,13,13,12,12,11,11,11,11,10,10,10,10,9,9,9
2017-09-14,9,9,9,8,8,8,8,8,8,9,9,9,9,10,10,11,11,13,13,14,14,14,14,15,15,15,15,15,15,15,15,14,14,13,13,12,12,11,11,11,11,10,10,10,10,9,9,9
2017-09-15,9,9,9,8,8,8,8,8,8,8,8,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,15,15,15,15,14,14,13,13,13,13,12,12,11,11,11,11,10,10,10,10,9
2017-09-16,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,12,12,12,12,13,13,14,14,14,14,14,14,14,14,14,14,13,13,12,12,12,12,11,11,11,11,10,10,10,10,9
2017-09-17,9,9,9,9,9,9,9,8,8,8,8,8,8,9,9,10,10,11,11,12,12,13,13,15,15,15,15,15,15,16,16,15,15,14,14,13,13,13,13,12,12,11,11,11,11,11,11,10
2017-09-18,10,10,10,10,10,9,9,9,9,9,9,9,9,10,10,11,11,12,12,13,13,14,14,15,15,15,15,15,15,15,15,14,14,13,13,12,12,12,12,11,11,11,11,11,11,11,11,10
2017-09-19,10,10,10,9,9,9,9,9,9,8,8,8,8,9,9,10,10,12,12,13,13,14,14,15,15,15,15,16,16,16,16,15,15,15,15,14,14,14,14,14,14,13,13,13,13,12,12,11
2017-09-20,11,11,11,11,11,10,10,10,10,10,10,10,10,12,12,13,13,14,14,15,15,16,16,17,17,16,16,16,16,16,16,16,16,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14
2017-09-21,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,14,14,14,14,13,13,13,13,12,12,12,12,12,12,12,12,12
2017-09-22,12,11,11,11,11,10,10,9,9,9,9,8,8,9,9,11,11,12,12,13,13,14,14,15,15,15,15,15,15,16,16,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13
2017-09-23,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,15,15,16,16,16,16,17,17,18,18,18,18,17,17,17,17,16,16,15,15,14,14,14,14,13,13,13,13,13
2017-09-24,13,13,13,13,13,13,13,12,12,12,12,11,11,12,12,14,14,15,15,16,16,18,18,19,19,19,19,19,19,19,19,18,18,18,18,17,17,17,17,16,16,16,16,15,15,15,15,15
2017-09-25,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14
2017-09-26,14,13,13,13,13,12,12,12,12,12,12,12,12,13,13,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,17,17,17,17,16,16,16,16,15,15,14,14,14,14,14,14,13
2017-09-27,13,13,13,13,13,12,12,12,12,12,12,12,12,13,13,13,13,14,14,15,15,17,17,18,18,18,18,18,18,19,19,17,17,16,16,15,15,15,15,15,15,14,14,14,14,15,15,15
2017-09-28,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,15,15,16,16,17,17,17,17,18,18,18,18,18,18,17,17,16,16,16,16,15,15,14,14,13,13,13,13,13,13,13
2017-09-29,13,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,17,17,17,17,16,16,16,16,15,15,14,14,14,14,13,13,13,13,12,12,12,12,11,11,11
2017-09-30,11,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
2017-10-01,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,14,14,14,14,14
2017-10-02,14,13,13,13,13,13,13,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,13,13,12,12,12,12,11,11,11,11,11,11,10,10,10,10,10
2017-10-03,10,10,10,10,10,10,10,9,9,9,9,9,9,10,10,11,11,11,11,12,12,13,13,14,14,13,13,13,13,13,13,13,13,12,12,12,12,11,11,11,11,10,10,10,10,9,9,9
2017-10-04,9,9,9,9,9,9,9,9,9,8,8,8,8,9,9,10,10,11,11,12,12,12,12,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,13,13,13,13,14,14,15
2017-10-05,15,15,15,15,15,16,16,15,15,14,14,13,13,13,13,12,12,12,12,13,13,13,13,14,14,14,14,14,14,13,13,13,13,12,12,11,11,11,11,10,10,10,10,10,10,9,9,9
2017-10-06,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10
2017-10-07,10,11,11,11,11,12,12,12,12,13,13,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,14,14,14,14,13,13,13,13,13,13,12,12,12,12,11,11,11,11,11,11,11
2017-10-08,11,11,11,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,13,13,14,14,15,15,15,15,15,15,16,16,15,15,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13
2017-10-09,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,14,14,15,15,15,15,15,15,15,15,14,14,14,14,13,13,13,13,13,13,12,12,12,12,12,12,12
2017-10-10,12,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,15,15,15,15,16,16,17,17,17,17,17,17,17,17,16,16,15,15,14,14,14,14,14,14,14,14,14,14,15,15,15
2017-10-11,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,15,15,15,15,16,16,15,15,15,15,15,15,15,15,14,14,14,14,13,13,12,12,11,11,11,11,11,11,10
2017-10-12,10,10,10,10,10,9,9,9,9,9,9,9,9,10,10,10,10,11,11,12,12,13,13,15,15,15,15,15,15,15,15,14,14,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12
2017-10-13,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16
2017-10-14,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,16,16,16,16,17,17,18,18,19,19,18,18,18,18,18,18,17,17,17,17,16,16,15,15,15,15,14,14,14,14,14,14,13
2017-10-15,13,13,13,13,13,13,13,12,12,12,12,12,12,13,13,14,14,14,14,15,15,15,15,16,16,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13
2017-10-16,13,13,13,14,14,14,14,14,14,14,14,14,14,15,15,16,16,18,18,19,19,20,20,21,21,20,20,19,19,18,18,17,17,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13
2017-10-17,13,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,12,12,13,13,13,13,14,14,14,14,14,14,14,14,14,14,13,13,12,12,12,12,12,12,12,12,11,11,11,11,11
2017-10-18,11,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,11,11,11,11,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
2017-10-19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
2017-10-20,13,12,12,12,12,12,12,11,11,11,11,10,10,11,11,12,12,12,12,12,12,13,13,13,13,13,13,13,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,12,12,13,13,14
2017-10-21,14,13,13,13,13,13,13,12,12,12,12,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,10
2017-10-22,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9
2017-10-23,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,11,11,11,11,12,12,13,13,13,13,14,14,15,15,15,15,15,15,15,15,14,14,14,14,13,13,13,13,13,13,13,13,13
2017-10-24,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,17,17,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,14
2017-10-25,14,14,14,15,15,15,15,14,14,13,13,13,13,12,12,12,12,12,12,13,13,14,14,15,15,15,15,15,15,15,15,14,14,13,13,13,13,12,12,12,12,11,11,11,11,11,11,11
2017-10-26,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,13,13,13,13,13,13,14,14,13,13,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10
2017-10-27,10,9,9,9,9,9,9,8,8,8,8,8,8,8,8,9,9,10,10,11,11,11,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,12,12,11,11,10,10,10,10,9,9,8
2017-10-28,8,7,7,7,7,7,7,7,7,7,7,7,7,8,8,9,9,10,10,11,11,13,13,14,14,14,14,14,14,15,15,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13
2017-10-29,13,13,13,14,14,14,14,13,13,13,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,9,9,9,9,9,9,10,10,10,10,10,10,9
2017-10-30,9,9,9,8,8,8,8,7,7,7,7,6,6,6,6,6,6,7,7,7,7,8,8,9,9,9,9,9,9,10,10,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7
2017-10-31,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,10,10,11,11,12,12,13,13,13,13,13,13,13,13,12,12,12,12,11,11,11,11,10,10,10,10,10,10,10,10,10
2017-11-01,10,9,9,9,9,9,9,9,9,9,9,8,8,9,9,9,9,9,9,10,10,11,11,12,12,12,12,13,13,13,13,12,12,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9
2017-11-02,9,8,8,8,8,8,8,8,8,8,8,7,7,8,8,8,8,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10
2017-11-03,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,12,12,12,12,12,12,12,12,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10
2017-11-04,10,10,10,10,10,11,11,11,11,11,11,11,11,10,10,10,10,9,9,10,10,10,10,11,11,10,10,10,10,10,10,9,9,8,8,8,8,7,7,7,7,6,6,6,6,6,6,6
2017-11-05,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,8,8,9,9,9,9,9,9,9,9,8,8,7,7,7,7,7,7,6,6,6,6,6,6,7,7,8
2017-11-06,8,6,6,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,8,8,9,9,9,9,9,9,9,9,9,9,8,8,7,7,7,7,7,7,8,8,8,8,8,8,8
2017-11-07,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,10,10,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6
2017-11-08,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,8,8,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6
2017-11-09,6,6,6,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,10,10,11,11,12,12,11,11,11,11,11,11,10,10,10,10,9,9,8,8,8,8,7,7,7,7,7,7,7
2017-11-10,7,7,7,8,8,9,9,9,9,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7
2017-11-11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7
2017-11-12,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3
2017-11-13,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,4,4,5,5,6,6,6,6,6,6,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6
2017-11-14,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,10,10,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2017-11-15,10,10,10,9,9,9,9,9,9,8,8,8,8,9,9,9,9,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9
2017-11-16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,10,10,10,10,9,9,9,9,8,8,8,8,7,7,7,7,6,6,6,6,5,5,5
2017-11-17,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4
2017-11-18,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,7,7,8,8,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,4
2017-11-19,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,6,6,6,6,7,7,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6
2017-11-20,6,7,7,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12
2017-11-21,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13
2017-11-22,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13
2017-11-23,13,13,13,12,12,12,12,10,10,9,9,7,7,7,7,7,7,6,6,7,7,8,8,9,9,9,9,9,9,9,9,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5
2017-11-24,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,7,7,7,7,7,7,7,7,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3
2017-11-25,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,6,6,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3
2017-11-26,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6,7,7,8
2017-11-27,8,8,8,9,9,9,9,9,9,9,9,9,9,8,8,7,7,7,7,7,7,8,8,8,8,8,8,8,8,7,7,7,7,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4
2017-11-28,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
2017-11-29,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,4,4,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1
2017-11-30,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
2017-12-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,5,5,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
2017-12-02,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,5,5,5
2017-12-03,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9,9,8,8,8,8,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5
2017-12-04,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5
2017-12-05,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6
2017-12-06,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10
2017-12-07,10,10,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,11,11,10,10,9,9,9,9,8,8,8,8,7,7,7,7,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3
2017-12-08,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
2017-12-09,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0
2017-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,-3,-3,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4
2017-12-12,-4,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4
2017-12-13,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2
2017-12-14,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3
2017-12-15,3,3,3,3,3,4,4,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
2017-12-16,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
2017-12-17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,5,5,6,6,7,7,7,7,8,8,8,8,9,9,8,8,8,8,7,7,6,6,6,6,5
2017-12-18,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,4,4,5,5,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
2017-12-19,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6
2017-12-20,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9
2017-12-21,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,12,12,11,11,11,11,11,11,10,10,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8
2017-12-22,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,8,8,9,9,10,10,10,10,10,10,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
2017-12-23,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,9
2017-12-24,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2017-12-25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,8,8,6,6,6,6,6,6,6
2017-12-26,6,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2
2017-12-27,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0
2017-12-29,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,3,3,3,3,4,4,5,5,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
2017-12-30,4,5,5,5,5,6,6,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,10,10,9,9,9,9,8,8,8,8,8,8,8,8,8,8,9,9,9
2017-12-31,9,10,10,11,11,12,12,12,12,11,11,11,11,10,10,9,9,9,9,9,9,9,9,10,10,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,6,6,6,6,6,6,5
2018-01-01,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5
2018-01-02,5,5,5,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,5,5,6,6,7,7,8,8,8,8,9,9,8,8,8,8,7,7,8,8,9,9,10,10,9,9,9,9,8
2018-01-03,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,6,6,6
2018-01-04,6,6,6,6,6,6,6,5,5,5,5,5,5,6,6,6,6,6,6,7,7,9,9,10,10,10,10,9,9,8,8,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5
2018-01-05,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3
2018-01-06,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,5,5,5,5,5,5,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
2018-01-07,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-01-08,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0
2018-01-09,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,6
2018-01-10,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3
2018-01-11,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
