,Dates,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
12,26-11-2021,1.814838213,2.084959145,2.092060563,2.067735487,1.694409272,2.210948143,1.981519314,2.309784011,2.851269608,2.735920219,2.905712365,2.924189315,3.7529927,3.233113193,3.159416226,3.016834919,3.179253206,3.370499342,3.303405319,3.449606201,3.43096285,2.651324464,2.171069058,2.182055914
13,27-11-2021,1.824150794,2.086618636,2.129313704,2.066675354,1.773198493,2.210948143,1.981519314,2.309259011,2.851269608,2.735920219,2.802805429,2.924189315,3.7529927,3.230881657,3.164054844,3.057076055,3.186751988,3.370499342,3.307014987,3.448264931,3.430644398,2.596562397,2.171069058,2.182055914
14,28-11-2021,1.881473364,2.090499677,2.129313704,2.01177597,1.78269684,2.210948143,1.981519314,2.309259011,2.650644098,2.735920219,2.764220569,2.905741574,3.75377557,3.239420736,3.164054844,3.089073277,3.184372291,3.371990612,3.298538265,3.446636074,3.441628479,2.592292734,2.170197263,2.154481881
15,29-11-2021,1.93008836,2.120957729,2.129313704,2.011323589,1.78269684,2.187140346,1.98314987,2.317084032,2.650644098,2.735920219,2.876294379,2.744328078,3.675663643,3.241107402,3.146567865,3.087841137,3.184998183,3.379321883,3.298538265,3.419141053,3.449330938,2.593981569,2.175349704,2.153031881
16,30-11-2021,1.938045992,2.005783244,2.135936594,2.064225552,1.689721654,2.187140346,1.98314987,2.317084032,2.649974779,2.945613694,2.858355092,2.744328078,3.485621377,3.239271117,3.161444821,3.091868899,3.175033085,3.385142396,3.289861479,3.417008854,3.452403854,2.590758196,2.172703343,2.153031881
17,01-12-2021,1.963160648,2.019164183,2.131634896,2.065602136,1.689721654,2.187140346,2.207145502,2.317084032,2.649974779,2.945613694,2.884965139,2.82444824,3.488158001,3.245650841,3.161444821,3.092181597,3.174773902,3.384447951,3.286095032,3.417008854,3.459025165,2.589610577,2.178915097,2.153031881
18,02-12-2021,1.930710517,2.019164183,2.131634896,2.102405683,1.689721654,2.187140346,2.207145502,2.279399278,2.649974779,2.945613694,2.854371057,2.824902954,3.480706998,3.245228619,3.161444821,3.085732624,3.154013894,3.382348889,3.28580275,3.414110243,3.465455265,2.594242407,2.21069736,2.153031881
19,03-12-2021,1.91099779,2.007546943,2.131634896,2.111613269,1.894203391,2.187140346,2.206145502,2.279399278,2.649974779,2.945613694,2.795302263,2.823902652,3.469472221,3.245228619,3.143330833,3.084787092,3.155598752,3.38172508,3.28580275,3.072108218,3.466864363,2.592558685,2.174945057,2.153031881
20,04-12-2021,1.892981738,2.006428887,2.131634896,2.258827835,1.893367573,2.187140346,2.211825986,2.279399278,2.649974779,2.945613694,2.859510141,2.823902652,3.47099484,3.233012376,3.161444821,3.096352899,3.161330376,3.337343094,3.234116176,3.073347107,3.107316078,2.59451412,2.165511023,2.151726751
21,05-12-2021,1.883430236,1.967587072,2.131634896,2.272830042,1.893367573,2.187140346,2.211825986,2.279399278,2.687486496,2.943172135,2.626470403,2.827573022,3.481191068,3.250979498,3.143330833,3.097015597,3.172100812,3.338435356,3.234116176,3.07243044,3.110349412,2.593554291,2.094667444,2.151726751
22,06-12-2021,1.834257658,1.962043226,2.126331779,2.461808484,1.890756931,2.187140346,2.211825986,2.279399278,2.687486496,2.943172135,2.535271979,2.828974707,3.427710908,3.251601067,3.156353695,3.097741355,3.179167046,3.135932124,3.234116176,3.072962848,3.162885664,2.595537691,2.094667444,2.151726751
23,07-12-2021,1.834257658,1.917821564,2.126331779,2.461808484,1.890756931,2.187140346,2.204796586,2.279399278,2.687486496,2.943172135,2.587123002,2.831013596,3.4608994,3.24994116,3.177716487,3.100942053,3.179167046,3.095766543,3.234116176,3.072962848,3.195103977,2.598681627,2.094246107,2.152809009
24,08-12-2021,1.829469553,1.914943787,2.125748446,2.463617659,1.891831733,2.187140346,2.204796586,2.279399278,2.687486496,3.03038307,2.802224286,2.832816626,3.621007275,3.244676847,3.177716487,3.10733003,3.180868237,3.095766543,3.234116176,3.069583483,3.207637476,2.600600145,2.100531736,2.152809009
25,09-12-2021,1.812574217,1.914943787,2.125748446,2.379385432,1.891831733,2.187140346,2.204796586,2.230448676,2.687486496,3.03038307,2.975668486,2.835256626,3.643092994,3.256221049,3.178965693,3.10733003,3.180729183,3.101155147,3.234116176,3.069583483,3.112007103,2.60202464,2.092689902,2.152809009
26,10-12-2021,1.811921439,1.958602953,2.125748446,2.37839064,2.078409609,2.187140346,2.204796586,2.230448676,2.689341807,3.03038307,3.035004851,2.83887782,3.670943778,3.257051458,3.178965693,3.112026009,3.18003573,3.094141695,3.234972236,3.068279185,2.95041709,2.607305928,2.090284675,2.152809009
27,11-12-2021,1.811921439,1.954912975,2.087119664,2.37839064,2.078409609,2.187140346,2.204796586,2.230448676,2.689341807,3.03038307,2.955801994,2.83887782,3.673216,3.257051458,3.142462102,3.112228573,3.178582832,3.093939675,3.234972236,3.068279185,2.915730483,2.607373785,2.090284675,2.161499885
28,12-12-2021,1.809893251,1.932047745,2.087119664,2.340789074,2.08243931,2.187140346,2.204796586,2.230448676,2.689341807,3.016863393,2.93714144,2.83887782,3.67971611,3.259005232,3.140817694,3.117938157,3.178528904,3.088307223,3.234972236,3.068279185,2.845159046,2.613001142,2.087990855,2.161499885
29,13-12-2021,1.804761984,1.93043178,2.084879573,2.341238466,2.08243931,2.187140346,2.160219722,2.230448676,2.617904979,3.016863393,2.977745793,2.844418825,3.674531586,3.265627919,3.145364591,3.097215878,3.177396648,3.087122038,3.250218307,3.064601934,2.846917156,2.752904302,2.089593254,2.161499885
